,id,predicted_class_,actual_class_,words_matched
200,200,technical,technical,"['eye', 'inquiri', 'address', 'alcohol', 'classif', 'player', 'night', 'server', 'exit', 'permit', 'fume', 'sheet', 'climb', 'side', 'game', 'radio', 'guard', 'telephon', 'courtesi', 'machineri', 'staf', 'one', 'court', 'offici', 'surveil', 'guest', 'traffic', 'incid', 'park', 'twist', 'ground', 'beverag', 'command', 'powerpoint', 'count', 'outlook', 'arriv', 'militari', 'fire', 'lot', 'open', 'temperatur', 'protect', 'ship', 'maintain', 'card']"
201,201,technical,technical,"['profil', 'backup', 'gas', 'profit', 'math', 'ladder', 'deliver', 'star', 'save', 'influenc', 'match', 'wast', 'calcul', 'find', 'region', 'analyst', 'load', 'one']"
202,202,technical,technical,"['sop', 'chain', 'eye', 'notif', 'manual', 'sampl', 'creation', 'comfort', 'revis', 'releas', 'disposit', 'reagent', 'weight', 'verif', 'one', 'deviat', 'biolog', 'bank', 'tissu', 'conform', 'auditor', 'complaint', 'pharmaceut']"
203,203,complex problem solving,complex problem solving,"['book', 'semest', 'clean', 'start', 'classroom', 'crisi', 'sampl', 'sociolog', 'literatur', 'play', 'conjunct', 'ray', 'proof', 'child', 'philosophi', 'observ', 'teacher', 'one', 'creativ', 'print', 'coursework', 'nutrit', 'lesson', 'credenti', 'music', 'psycholog', 'childhood', 'definit', 'portfolio', 'arrang', 'enrol', 'parent']"
204,204,complex problem solving,complex problem solving,"['climat', 'deploy', 'stabil', 'readi', 'danger', 'surfac', 'dust', 'storm', 'combat', 'defens', 'digniti', 'trauma', 'caliburn', 'evacu', 'admiss', 'restrict', 'diplomaci', 'disposit', 'simul', 'stand', 'fellowship', 'one', 'bill', 'garment', 'tissu', 'mask', 'gear', 'carri', 'contin', 'ethic', 'wear', 'face', 'surgeon', 'profess', 'resuscit', 'right']"
205,205,technical,technical,"['profil', 'listen', 'ill', 'alarm', 'notif', 'alcohol', 'channel', 'well', 'union', 'circuit', 'logic', 'gas', 'threat', 'station', 'discharg', 'tech', 'airport', 'save', 'inclus', 'radio', 'intellig', 'telephon', 'stand', 'one', 'oil', 'log', 'length', 'bank', 'discount', 'incid', 'k', 'factori', 'accid', 'doctor', 'protocol', 'updat', 'dispatch', 'awar', 'enforc', 'conclus', 'temperatur', 'introduct', 'link', 'perk', 'warehous', 'premium']"
206,206,technical,technical,"['book', 'workshop', 'motor', 'requisit', 'hazard', 'establish', 'classroom', 'physic', 'achiev', 'chemistri', 'telephon', 'teacher', 'superintend', 'stem', 'style', 'one', 'anim', 'biolog', 'curriculum', 'demonstr', 'lesson', 'involv', 'fax', 'formul', 'atmospher', 'parent', 'mathemat']"
207,207,technical,technical,"['stack', 'deliver', 'equiti', 'bar', 'devop', 'librari', 'well', 'laser', 'ownership', 'pipelin', 'perspect', 'proof', 'web', 'architect', 'intellig', 'one', 'algorithm', 'messag', 'detect', 'architectur', 'desir', 'analyst', 'cloud', 'api', 'peer', 'lot', 'award', 'arrang', 'starter', 'adopt', 'pattern']"
208,208,technical,technical,"['inspector', 'panel', 'malfunct', 'airfram', 'aircraft', 'manual', 'player', 'workload', 'exit', 'station', 'threat', 'head', 'mentor', 'sheet', 'aviat', 'one', 'timelin', 'negoti', 'log', 'solv', 'housekeep', 'avion', 'incid', 'accid', 'mechan', 'delay', 'wire', 'path', 'sign', 'metal', 'card']"
209,209,technical,technical,"['charter', 'inquiri', 'paperwork', 'depend', 'start', 'counti', 'princip', 'classroom', 'guardian', 'literatur', 'session', 'one', 'teacher', 'creativ', 'iep', 'make', 'solv', 'lesson', 'urgenc', 'genet', 'parent']"
210,210,technical,technical,"['deploy', 'cooper', 'switch', 'flow', 'home', 'logic', 'head', 'payment', 'polic', 'programm', 'architect', 'configur', 'one', 'light', 'potenti', 'architectur', 'connect', 'traffic', 'router', 'analyst', 'protocol', 'overview', 'link', 'workflow', 'voic']"
211,211,technical,technical,"['subcontractor', 'forecast', 'hear', 'stoop', 'trade', 'strength', 'subsidiari', 'logic', 'answer', 'stand', 'bid', 'price', 'format', 'one', 'blueprint', 'theori', 'make', 'solv', 'visit', 'draw', 'tree', 'expenditur', 'conclus', 'formul', 'percept', 'estim', 'fabric', 'ship', 'factor']"
212,212,technical,technical,"['panel', 'clean', 'trade', 'replac', 'dispos', 'night', 'fuel', 'prevent', 'recoveri', 'fleet', 'tire', 'maximum', 'exercis', 'workforc', 'proof', 'adjust', 'format', 'one', 'light', 'mail', 'phase', 'mechan', 'wire', 'lift', 'fax', 'open', 'diesel', 'troubleshoot']"
213,213,complex problem solving,technical,"['motor', 'limit', 'car', 'eye', 'broadcast', 'climat', 'judg', 'surfac', 'stoop', 'hear', 'panel', 'dust', 'start', 'apprais', 'even', 'adult', 'receipt', 'establish', 'questionnair', 'princip', 'membership', 'classif', 'submiss', 'prevent', 'movement', 'height', 'payment', 'polic', 'avail', 'weather', 'climb', 'proof', 'radio', 'child', 'weight', 'stand', 'stress', 'verif', 'one', 'court', 'evid', 'mail', 'traffic', 'lump', 'crime', 'accid', 'incid', 'increas', 'command', 'score', 'victim', 'incent', 'enforc', 'charg', 'complaint', 'overtim', 'sum', 'spous', 'face', 'enrol', 'commiss']"
214,214,technical,technical,"['profil', 'climat', 'electron', 'panel', 'surfac', 'advantag', 'supplier', 'sensit', 'display', 'player', 'character', 'circuit', 'cycl', 'assembl', 'error', 'optic', 'output', 'releas', 'calibr', 'sheet', 'physic', 'schemat', 'physicist', 'piec', 'scientist', 'd', 'configur', 'verif', 'procur', 'one', 'fixtur', 'bill', 'interfac', 'draw', 'protocol', 'overview', 'updat', 'definit', 'peer', 'powerpoint', 'r', 'open', 'semiconductor', 'lot', 'introduct', 'fabric', 'estim', 'metal']"
215,215,technical,technical,"['minut', 'edit', 'listen', 'inquiri', 'invoic', 'flow', 'calendar', 'sensit', 'head', 'payment', 'dean', 'sheet', 'discret', 'adjust', 'telephon', 'one', 'behalf', 'mail', 'correspond', 'paper', 'powerpoint', 'expenditur', 'complaint', 'arrang']"
216,216,technical,technical,"['outlook', 'surveil', 'deploy', 'close', 'land', 'sensor', 'militari', 'aerospac', 'desir', 'pregnanc', 'ship', 'defens', 'contin', 'reliabl', 'verif', 'one']"
217,217,complex problem solving,technical,"['attorney', 'book', 'cash', 'renew', 'judg', 'clerk', 'proceed', 'strength', 'combat', 'advoc', 'youth', 'card', 'seri', 'allow', 'articl', 'one', 'armi', 'court', 'subordin', 'length', 'discount', 'overview', 'command', 'score', 'fee', 'justic', 'expens', 'determin', 'aptitud', 'librari']"
218,218,complex problem solving,complex problem solving,"['eye', 'chain', 'stoop', 'floor', 'player', 'luxuri', 'marketplac', 'climb', 'answer', 'stand', 'one', 'style', 'timelin', 'salesforc', 'furnitur', 'lifecycl', 'phase', 'visit', 'liaison', 'twist', 'stock', 'lifestyl', 'appear', 'qualifi']"
219,219,technical,technical,"['investor', 'featur', 'advantag', 'help', 'maker', 'influenc', 'mine', 'defens', 'advocaci', 'autom', 'threat', 'research', 'gas', 'bridg', 'share', 'tech', 'attack', 'avail', 'stori', 'gap', 'piec', 'answer', 'segment', 'one', 'damag', 'oil', 'light', 'infect', 'phase', 'accid', 'factori', 'owner', 'region', 'enterpris', 'contin', 'reliabl', 'transform']"
220,220,technical,technical,"['edit', 'questionnair', 'digniti', 'literatur', 'error', 'methodolog', 'web', 'scientist', 'articl', 'clinician', 'stage', 'one', 'workflow', 'curriculum', 'solv', 'topic', 'interfac', 'draft', 'doctor', 'paper', 'psycholog', 'protocol', 'agenda', 'updat', 'peer', 'vet', 'popul', 'award', 'starter', 'find', 'grant', 'factor', 'phd']"
221,221,technical,technical,"['assembl', 'visa', 'powerpoint', 'valid', 'one', 'internship', 'root', 'setup', 'wind', 'volum', 'percept', 'supplier', 'cell', 'societi', 'reduct', 'night', 'autom', 'machineri']"
222,222,technical,technical,"['p', 'requisit', 'paperwork', 'equiti', 'start', 'sector', 'classif', 'abus', 'oblig', 'admiss', 'learner', 'pregnanc', 'child', 'verif', 'procur', 'one', 'visa', 'guest', 'mail', 'immigr', 'chair', 'draft', 'credenti', 'protocol', 'popul', 'm', 'overtim', 'arrang', 'equival', 'sign', 'mathemat', 'workflow', 'card']"
223,223,complex problem solving,complex problem solving,"['return', 'attorney', 'limit', 'reserv', 'interpret', 'strength', 'discoveri', 'disclosur', 'brief', 'survey', 'recoveri', 'revis', 'releas', 'marketplac', 'payment', 'reput', 'litig', 'motion', 'conflict', 'disposit', 'adjust', 'advic', 'stand', 'underwrit', 'one', 'damag', 'negoti', 'complex', 'draft', 'paper', 'loss', 'trial', 'demeanor', 'open', 'transact', 'workflow']"
224,224,technical,technical,"['featur', 'panel', 'deploy', 'hotel', 'diagnos', 'display', 'programm', 'tabl', 'game', 'resort', 'one', 'dine', 'style', 'guest', 'entertain', 'analyst', 'casino', 'batch', 'command', 'win', 'pride', 'award', 'troubleshoot']"
225,225,technical,technical,"['motor', 'hazard', 'trade', 'address', 'bus', 'passeng', 'slope', 'ppe', 'autom', 'gas', 'fume', 'tank', 'weld', 'fleet', 'climb', 'weather', 'resort', 'mobil', 'one', 'blueprint', 'cut', 'oil', 'lock', 'precis', 'voltag', 'incid', 'acuiti', 'snow', 'truck', 'steam', 'petroleum', 'temperatur', 'diagnost', 'percept', 'estim', 'diesel', 'season']"
226,226,technical,technical,"['featur', 'deploy', 'landscap', 'diagnos', 'artist', 'bar', 'player', 'submiss', 'survey', 'server', 'cycl', 'pipelin', 'tester', 'play', 'releas', 'script', 'match', 'game', 'web', 'op', 'verif', 'one', 'produc', 'audienc', 'entertain', 'phase', 'checklist', 'beverag', 'app', 'jira', 'tune', 'mindset', 'emphasi', 'backend', 'find', 'assur', 'perk', 'kitchen', 'analys', 'choic']"
227,227,technical,technical,"['convers', 'workshop', 'diseas', 'trade', 'discoveri', 'advisor', 'motiv', 'research', 'methodolog', 'pilot', 'proof', 'web', 'one', 'messag', 'evid', 'discuss', 'demonstr', 'analyt', 'trial', 'compli', 'enterpris', 'diagnost', 'pharmaceut', 'adopt', 'transform']"
228,228,technical,technical,"['sop', 'deliver', 'percentag', 'player', 'advoc', 'fact', 'calibr', 'mentor', 'workforc', 'variabl', 'one', 'timelin', 'valid', 'potenti', 'connect', 'lifecycl', 'interfac', 'correspond', 'owner', 'thing', 'overview', 'compli', 'powerpoint', 'diagram']"
229,229,technical,technical,"['autocad', 'landscap', 'sector', 'membership', 'survey', 'station', 'instrument', 'map', 'cabl', 'radio', 'one', 'frequenc', 'architectur', 'traffic', 'ground', 'crew', 'appear', 'land', 'pride', 'award', 'starter', 'pipe', 'atmospher']"
230,230,technical,technical,"['airlin', 'instrument', 'privileg', 'chief', 'lesson', 'pilot', 'aircraft', 'ground', 'manual', 'classroom', 'instructor', 'flight', 'absenc', 'command', 'one']"
231,231,technical,technical,"['paperwork', 'amount', 'floor', 'percentag', 'player', 'wage', 'tabl', 'game', 'one', 'staf', 'surveil', 'discount', 'casino', 'increas', 'count', 'close', 'open', 'complaint', 'protect', 'commiss', 'card']"
232,232,technical,technical,"['heat', 'continu', 'one', 'tech', 'climb', 'refriger', 'malfunct', 'pump', 'link', 'estim', 'applianc', 'establish', 'circuit', 'hvac', 'stair', 'button', 'wire', 'dental']"
233,233,technical,complex problem solving,"['forecast', 'flow', 'establish', 'volum', 'motiv', 'ownership', 'perspect', 'mentor', 'avail', 'achiev', 'creed', 'conflict', 'one', 'negoti', 'varianc', 'evid', 'surgeri', 'visit', 'retent', 'mechan', 'trust', 'paramet', 'emphasi', 'popul', 'commiss', 'surgeon', 'accredit', 'capit']"
234,234,technical,technical,"['indic', 'readi', 'surfac', 'requisit', 'malfunct', 'replac', 'airfram', 'calendar', 'cell', 'aircraft', 'start', 'manual', 'display', 'fuel', 'workload', 'assembl', 'brake', 'preserv', 'station', 'movement', 'wrench', 'exercis', 'sheet', 'cabl', 'seri', 'aviat', 'proof', 'flight', 'dexter', 'one', 'blueprint', 'ladder', 'log', 'complex', 'discrep', 'housekeep', 'phase', 'gear', 'mechan', 'liaison', 'paint', 'land', 'fire', 'open', 'overtim', 'diagnosi', 'modif', 'maintain', 'metal', 'wing', 'troubleshoot', 'card']"
235,235,technical,technical,"['electron', 'internet', 'sensit', 'circuit', 'assembl', 'comfort', 'root', 'physic', 'export', 'radiat', 'schemat', 'satellit', 'advic', 'procur', 'one', 'belief', 'damag', 'blueprint', 'detect', 'traffic', 'avion', 'interfac', 'mechan', 'vulner', 'statist', 'star', 'sensor', 'subsystem', 'troubleshoot', 'reliabl', 'mathemat']"
236,236,technical,technical,"['sop', 'suspens', 'releas', 'instrument', 'pilot', 'chemistri', 'd', 'scientist', 'verif', 'one', 'creativ', 'valid', 'mail', 'solv', 'phase', 'paper', 'protocol', 'trial', 'involv', 'identif', 'r', 'conclus', 'formul', 'compil', 'analys', 'pharmaceut']"
237,237,technical,technical,"['floor', 'player', 'sampl', 'night', 'dental', 'commod', 'ownership', 'pto', 'session', 'height', 'climb', 'export', 'weather', 'match', 'adjust', 'one', 'produc', 'vest', 'ladder', 'log', 'protein', 'batch', 'count', 'paramet', 'lot', 'open', 'overtim']"
238,238,technical,technical,"['profit', 'cash', 'deliver', 'revenu', 'sampl', 'submiss', 'character', 'permit', 'prevent', 'tank', 'mentor', 'one', 'oil', 'wast', 'conform', 'women', 'storag', 'estim', 'assur', 'acquisit', 'wastewat', 'branch']"
239,239,technical,technical,"['return', 'book', 'stay', 'cash', 'hotel', 'choic', 'help', 'upgrad', 'invoic', 'depend', 'amount', 'textur', 'paperwork', 'approx', 'calendar', 'suggest', 'classroom', 'guardian', 'theme', 'marriag', 'restrict', 'allow', 'tax', 'child', 'button', 'teacher', 'one', 'creativ', 'visa', 'oil', 'curriculum', 'demonstr', 'lesson', 'uniform', 'paper', 'subject', 'paint', 'ticket', 'fee', 'storag', 'path', 'arrang', 'spous', 'fabric', 'usd', 'studio', 'parent', 'text', 'pattern']"
240,240,technical,technical,"['electron', 'propuls', 'cycl', 'assembl', 'cargo', 'campaign', 'script', 'physic', 'export', 'satellit', 'simul', 'stress', 'one', 'launch', 'belief', 'math', 'traffic', 'avion', 'crew', 'peer', 'star', 'fabric']"
241,241,technical,technical,"['sop', 'deviat', 'revis', 'valid', 'one', 'calibr', 'deliver', 'biolog', 'autom', 'assur', 'commiss', 'chemistri', 'pharmaceut', 'aptitud', 'updat']"
242,242,technical,technical,"['limit', 'eye', 'receipt', 'notif', 'sensit', 'membership', 'disclosur', 'payment', 'climb', 'ictap', 'tax', 'length', 'complex', 'carri', 'militari', 'emphasi', 'spous', 'expens', 'factor', 'branch', 'troubleshoot', 'surfac', 'dust', 'start', 'even', 'calendar', 'guid', 'speech', 'station', 'corp', 'ladder', 'mileag', 'termin', 'close', 'incent', 'finger', 'lodg', 'overtim', 'percept', 'rout', 'motor', 'reserv', 'hear', 'trade', 'tractor', 'seri', 'stand', 'walk', 'one', 'cut', 'charact', 'suitabl', 'heart', 'increas', 'compli', 'command', 'truck', 'lift', 'land', 'storag', 'link', 'deposit', 'crawl', 'apprais', 'questionnair', 'aircraft', 'agent', 'error', 'headquart', 'discharg', 'releas', 'date', 'wage', 'allow', 'button', 'mobil', 'machineri', 'heat', 'oil', 'tour', 'retent', 'trust', 'incom', 'award', 'qualifi', 'determin', 'accredit']"
243,243,technical,technical,"['climat', 'invoic', 'paperwork', 'half', 'replac', 'supplier', 'home', 'comfort', 'height', 'sheet', 'climb', 'stori', 'reput', 'plumb', 'one', 'belief', 'mileston', 'ladder', 'potenti', 'reason', 'accid', 'uniform', 'kid', 'thing', 'truck', 'cancer', 'enforc', 'emphasi', 'open', 'overtim', 'choic', 'text', 'aptitud', 'crawl']"
244,244,technical,technical,"['featur', 'retail', 'trade', 'even', 'floor', 'recoveri', 'output', 'avail', 'pilot', 'answer', 'plumb', 'stand', 'price', 'one', 'discount', 'housekeep', 'load', 'stock', 'merchandis', 'licensur', 'garden', 'kitchen', 'card']"
245,245,technical,technical,"['rail', 'spend', 'carrier', 'night', 'referr', 'movement', 'prescript', 'box', 'toe', 'pregnanc', 'match', 'child', 'one', 'superintend', 'backup', 'heat', 'target', 'log', 'shoe', 'sustain', 'reduct', 'paper', 'pet', 'beverag', 'stock', 'crew', 'steel', 'lift', 'poster', 'protect', 'maintain', 'reliabl', 'capit', 'auto']"
246,246,technical,complex problem solving,"['enjoy', 'landscap', 'administ', 'hotel', 'entitl', 'forecast', 'upgrad', 'apprais', 'alarm', 'chanc', 'night', 'permit', 'achiev', 'resort', 'procur', 'bid', 'stress', 'one', 'creativ', 'fixtur', 'guest', 'furnitur', 'payrol', 'mechan', 'owner', 'liaison', 'loss', 'score', 'quantiti', 'fire', 'expens', 'assur', 'capit']"
247,247,technical,technical,"['chain', 'commerci', 'indic', 'inquiri', 'influenc', 'align', 'priorit', 'manual', 'attribut', 'sampl', 'classif', 'fuel', 'marketplac', 'root', 'gap', 'd', 'acumen', 'one', 'key', 'facilit', 'launch', 'target', 'incid', 'interfac', 'sustain', 'batch', 'trial', 'urgenc', 'r', 'enterpris', 'mindset', 'popul', 'complaint', 'assur', 'adapt']"
248,248,technical,technical,"['reserv', 'electron', 'charter', 'semest', 'p', 'transmiss', 'trade', 'start', 'bus', 'calendar', 'internet', 'alcohol', 'establish', 'sampl', 'apprenticeship', 'disast', 'error', 'head', 'move', 'railroad', 'tractor', 'session', 'date', 'conjunct', 'avail', 'creed', 'violat', 'cabl', 'proof', 'electrician', 'weight', 'one', 'theori', 'ladder', 'surveil', 'coursework', 'valid', 'mail', 'make', 'connect', 'traffic', 'voltag', 'size', 'accid', 'ground', 'draw', 'wire', 'crew', 'score', 'cancer', 'entiti', 'sensor', 'm', 'qualifi', 'submitt', 'modif', 'maintain', 'accredit', 'choic', 'aptitud']"
249,249,technical,technical,"['blueprint', 'ladder', 'badg', 'oblig', 'campaign', 'women', 'emphasi', 'fire', 'sheet', 'avail', 'amount', 'pregnanc', 'address', 'dealer', 'subject', 'reliabl', 'dress', 'one']"
250,250,technical,technical,"['motor', 'autocad', 'panel', 'electron', 'calcul', 'transpar', 'classif', 'trip', 'headquart', 'gas', 'conduit', 'instrument', 'layout', 'format', 'one', 'produc', 'oil', 'light', 'voltag', 'size', 'interfac', 'liaison', 'ground', 'draw', 'draft', 'read', 'wire', 'elev', 'starter', 'modif', 'pipe', 'protect', 'diagram', 'text', 'wastewat']"
251,251,technical,technical,"['powerpoint', 'valid', 'chemistri', 'one', 'biolog', 'autom', 'formul', 'face', 'mine', 'commiss', 'confid', 'pharmaceut', 'assur', 'aptitud', 'updat']"
252,252,technical,technical,"['book', 'motor', 'distanc', 'stoop', 'refriger', 'round', 'valv', 'bar', 'fume', 'instrument', 'boiler', 'climb', 'weather', 'adjust', 'variabl', 'one', 'heat', 'reason', 'gaug', 'mechan', 'correspond', 'read', 'wire', 'vet', 'finger', 'temperatur', 'percept', 'fluid', 'diagram', 'encount', 'troubleshoot', 'crawl']"
253,253,technical,technical,"['mind', 'door', 'surfac', 'diseas', 'window', 'hear', 'replac', 'mile', 'floor', 'bar', 'stair', 'sprinkler', 'version', 'height', 'weather', 'apart', 'side', 'inclus', 'plumb', 'telephon', 'flight', 'staf', 'one', 'pool', 'light', 'lock', 'length', 'carpentri', 'region', 'ground', 'paint', 'snow', 'compli', 'cleanli', 'remov', 'demeanor', 'elev', 'appear', 'fire', 'fax', 'overtim', 'temperatur', 'percept', 'applianc', 'sign', 'atmospher', 'auto']"
254,254,technical,technical,"['motor', 'transmiss', 'panel', 'help', 'pump', 'valv', 'classroom', 'loan', 'fuel', 'suspens', 'altern', 'brake', 'head', 'station', 'save', 'avail', 'radiat', 'drill', 'guard', 'machineri', 'one', 'math', 'soldier', 'shoe', 'mechan', 'dealer', 'speed', 'truck', 'troubleshoot', 'starter', 'applianc', 'auto', 'electr']"
255,255,technical,technical,"['stream', 'flow', 'supplier', 'cell', 'trainer', 'channel', 'agent', 'classif', 'submiss', 'mentor', 'map', 'acumen', 'one', 'timelin', 'iso', 'log', 'connect', 'solv', 'host', 'interfac', 'conform', 'metric', 'auditor', 'awar', 'powerpoint', 'complaint', 'arrang', 'capit']"
256,256,technical,technical,"['sop', 'upgrad', 'window', 'restor', 'discoveri', 'internet', 'stair', 'ppe', 'server', 'disast', 'cycl', 'workload', 'recoveri', 'methodolog', 'motion', 'd', 'scientist', 'walk', 'one', 'backup', 'ladder', 'valid', 'anim', 'major', 'interfac', 'twist', 'outlook', 'powerpoint', 'r', 'portfolio', 'temperatur', 'arrang', 'pharmaceut', 'enhanc']"
257,257,technical,technical,"['profil', 'surfac', 'distanc', 'amount', 'dust', 'align', 'flow', 'slope', 'survey', 'fuel', 'well', 'deleg', 'substanc', 'bridg', 'movement', 'weather', 'stand', 'machineri', 'one', 'cut', 'behalf', 'oil', 'light', 'acuiti', 'ground', 'crane', 'crew', 'remov', 'quantiti', 'vet', 'emphasi', 'diesel', 'encount']"
258,258,technical,technical,"['autocad', 'interpret', 'feet', 'invest', 'flow', 'supplier', 'ppe', 'height', 'boiler', 'machineri', 'one', 'financ', 'ladder', 'valid', 'presenc', 'meter', 'make', 'solv', 'phase', 'interfac', 'batch', 'truck', 'auditor', 'outlook', 'powerpoint', 'urgenc', 'lift', 'emphasi', 'fax', 'fire', 'temperatur', 'expens', 'confid', 'capit', 'workflow']"
259,259,technical,technical,"['motor', 'transmiss', 'dot', 'shuttl', 'malfunct', 'align', 'bus', 'passeng', 'valv', 'subsidiari', 'suspens', 'fuel', 'headquart', 'gas', 'brake', 'calibr', 'steer', 'tech', 'fleet', 'overhaul', 'adjust', 'one', 'oil', 'make', 'truck', 'temperatur', 'diagnost', 'diesel', 'rout', 'auto']"
260,260,technical,technical,"['transmiss', 'malfunct', 'replac', 'aircraft', 'suspens', 'brake', 'steer', 'weld', 'fleet', 'tire', 'wage', 'discret', 'machineri', 'one', 'heat', 'truck', 'path', 'rotat', 'diagnosi', 'fabric', 'rout', 'ship', 'hvac', 'diesel']"
261,261,technical,technical,"['financ', 'deviat', 'mileston', 'iso', 'one', 'payment', 'deliver', 'invoic', 'map', 'stream', 'draw', 'sign', 'manual', 'acumen', 'layout', 'price', 'alloc']"
262,262,technical,technical,"['limit', 'ill', 'diseas', 'sme', 'cell', 'princip', 'fact', 'cycl', 'ownership', 'creation', 'revis', 'session', 'calibr', 'root', 'button', 'triag', 'one', 'timelin', 'deviat', 'theori', 'valid', 'varianc', 'potenti', 'discrep', 'medicin', 'owner', 'protocol', 'forefront', 'alloc', 'definit', 'cancer', 'identif', 'therapi', 'assur', 'rout', 'purif', 'pharmaceut']"
263,263,technical,technical,"['start', 'strength', 'recognit', 'transform', 'research', 'achiev', 'proof', 'scientist', 'simul', 'verif', 'one', 'stage', 'theori', 'architectur', 'curriculum', 'reason', 'immigr', 'host', 'analyt', 'doctor', 'expenditur', 'women', 'nsf', 'face', 'reliabl', 'electr', 'adopt', 'fellow', 'voic']"
264,264,complex problem solving,complex problem solving,"['forecast', 'hazard', 'notif', 'brief', 'exercis', 'polic', 'weather', 'drill', 'radio', 'stress', 'econom', 'staf', 'one', 'tour', 'offici', 'messag', 'frequenc', 'incid', 'command', 'definit', 'dispatch', 'powerpoint', 'fire', 'equival']"
265,265,technical,technical,"['readi', 'distanc', 'replac', 'subsidiari', 'ppe', 'substanc', 'calibr', 'tank', 'height', 'climb', 'weather', 'pilot', 'allow', 'configur', 'dexter', 'machineri', 'one', 'light', 'demonstr', 'roof', 'uniform', 'label', 'appear', 'portfolio', 'incent', 'finger', 'advertis', 'overtim', 'imag', 'equival', 'diagnost', 'percept', 'commiss', 'wastewat', 'troubleshoot']"
266,266,technical,technical,"['desktop', 'diseas', 'replac', 'bar', 'assembl', 'act', 'avail', 'proof', 'variabl', 'price', 'machineri', 'one', 'fixtur', 'valid', 'iso', 'liaison', 'correspond', 'heart', 'reduct', 'women', 'emphasi', 'therapi', 'fabric', 'diagram', 'encount', 'troubleshoot']"
267,267,technical,technical,"['trade', 'wareh', 'mitig', 'physic', 'sql', 'migrat', 'architect', 'intellig', 'one', 'math', 'discuss', 'desir', 'aw', 'analyt', 'visit', 'batch', 'cloud', 'tune', 'enterpris', 'path', 'adopt', 'face', 'warehous', 'mathemat', 'phd']"
268,268,complex problem solving,technical,"['depend', 'cooper', 'even', 'manual', 'sampl', 'abus', 'pto', 'substanc', 'identifi', 'blood', 'fulfil', 'weather', 'pilot', 'motion', 'conflict', 'courtesi', 'mobil', 'one', 'mileag', 'k', 'loss', 'compli', 'appear', 'obtain', 'donor', 'percept', 'find', 'sign', 'auto']"
269,269,technical,technical,"['minut', 'administ', 'amount', 'even', 'strength', 'bus', 'guid', 'princip', 'classroom', 'guardian', 'injuri', 'abus', 'revis', 'counselor', 'session', 'substitut', 'achiev', 'conflict', 'adjust', 'child', 'stress', 'teacher', 'one', 'damag', 'designe', 'iep', 'lesson', 'subject', 'reliabl', 'loss', 'load', 'club', 'demeanor', 'temperatur', 'season', 'adapt', 'parent', 'mathemat', 'librari']"
270,270,technical,technical,"['centuri', 'error', 'visa', 'revis', 'outlook', 'powerpoint', 'root', 'sql', 'programm', 'phase', 'match', 'strength', 'accid', 'discount', 'subsidiari', 'park', 'enhanc', 'well', 'translat', 'one']"
271,271,technical,technical,"['motor', 'panel', 'address', 'pump', 'valv', 'flow', 'alcohol', 'logic', 'circuit', 'apprenticeship', 'fact', 'conduit', 'optic', 'prescript', 'date', 'instrument', 'airport', 'save', 'cabl', 'proof', 'electrician', 'one', 'heat', 'negoti', 'light', 'frequenc', 'voltag', 'phase', 'payrol', 'crane', 'wire', 'termin', 'lift', 'fax', 'overtim', 'submitt', 'wastewat', 'troubleshoot', 'transform']"
272,272,technical,technical,"['motor', 'transmiss', 'indic', 'bargain', 'storm', 'brief', 'motiv', 'union', 'gas', 'identifi', 'fulfil', 'configur', 'one', 'demonstr', 'interfac', 'visit', 'absenc', 'crew', 'alloc', 'conform', 'awar', 'open', 'rotat', 'equival', 'acquisit', 'capit']"
273,273,technical,complex problem solving,"['inspector', 'landscap', 'even', 'logist', 'player', 'fuel', 'disast', 'gap', 'workforc', 'plumb', 'staf', 'one', 'designe', 'wast', 'housekeep', 'park', 'retent', 'ground', 'paint', 'label', 'overview', 'updat', 'lot']"
274,274,technical,technical,"['thinker', 'inquiri', 'guid', 'classroom', 'perspect', 'research', 'learner', 'adjust', 'philosophi', 'stand', 'observ', 'format', 'teacher', 'one', 'style', 'designe', 'adapt', 'connect', 'curriculum', 'lesson', 'subject', 'read', 'peer', 'ethic', 'acquisit', 'parent', 'librari']"
275,275,technical,technical,"['sea', 'autocad', 'deliver', 'stream', 'flow', 'establish', 'floor', 'summer', 'defens', 'transpar', 'assembl', 'discharg', 'intern', 'edg', 'mentor', 'methodolog', 'root', 'map', 'aviat', 'layout', 'one', 'visa', 'fixtur', 'aerospac', 'mail', 'retent', 'trust', 'internship', 'metric', 'land', 'popul', 'poster', 'introduct', 'rout']"
276,276,complex problem solving,complex problem solving,"['deliver', 'start', 'priorit', 'even', 'calendar', 'photographi', 'display', 'submiss', 'creation', 'script', 'campaign', 'web', 'stand', 'one', 'style', 'print', 'outlook', 'powerpoint', 'portfolio', 'mindset', 'starter', 'expens', 'capit']"
277,277,technical,technical,"['error', 'motor', 'permit', 'peer', 'style', 'output', 'one', 'log', 'make', 'bed', 'creed', 'pump', 'valv', 'strength', 'equival', 'adjust', 'sampl', 'wastewat', 'deleg', 'machineri']"
